[f,da,db,dc,ga,go,t,h,p],
[914.6,0,29,41,3550.2585,9858.1201,26.77,62.61,94264.25],
[914.6,0,29,43,3550.2585,9858.1201,26.74,62.79,94259.12],
[914.6,0,29,45,3550.2585,9858.1201,26.71,62.91,94269.71],
[914.6,0,29,47,3550.2585,9858.1201,26.69,63.22,94265.95],
[914.6,0,29,49,3550.2585,9858.1201,26.66,63.30,94285.09],
[914.6,0,29,51,3550.2585,9858.1201,26.66,63.49,94274.50],
[914.6,0,29,53,3550.2585,9858.1201,26.62,63.54,94256.04],
[914.6,0,29,55,3550.2583,9858.1201,26.58,63.62,94253.65],
[914.6,0,29,57,3550.2583,9858.1201,26.56,63.78,94265.26],
[914.6,0,29,59,3550.2583,9858.1201,26.54,64.03,94276.20],
[914.6,0,30,1,3550.2583,9858.1201,26.49,64.03,94314.48],
[914.6,0,30,3,3550.2583,9858.1201,26.43,64.35,94272.10],
[914.6,0,30,5,3550.2583,9858.1201,26.27,65.09,94251.59],
[914.6,0,30,7,3550.2583,9858.1201,26.17,65.78,94275.51],
[914.6,0,30,9,3550.2583,9858.1201,26.08,66.26,94260.82],
[914.6,0,30,11,3550.2583,9858.1201,26.03,66.53,94282.69],
[914.6,0,30,13,3550.2583,9858.1201,25.95,66.77,94264.23],
[914.6,0,30,15,3550.2583,9858.1201,25.92,67.29,94289.18],
[914.6,0,30,17,3550.2583,9858.1201,25.87,67.60,94258.08],
[914.6,0,30,19,3550.2583,9858.1201,25.83,67.93,94260.47],
[914.6,0,30,21,3550.2583,9858.1201,25.80,68.30,94264.91],
[914.6,0,30,23,3550.2583,9858.1201,25.79,68.64,94275.85],
[914.6,0,30,25,3550.2583,9858.1201,25.75,68.70,94288.84],
[914.6,0,30,27,3550.2583,9858.1201,25.71,68.88,94272.09],
[914.6,0,30,29,3550.2583,9858.1201,25.69,69.11,94255.34],
[914.6,0,30,31,3550.2583,9858.1201,25.64,69.22,94320.97],
[914.6,0,30,33,3550.2583,9858.1201,25.61,69.55,94261.15],
[914.6,0,30,35,3550.2583,9858.1191,25.56,70.03,94247.82],
[914.6,0,30,37,3550.2583,9858.1191,25.53,70.52,94291.91],
[914.6,0,30,39,3550.2583,9858.1201,25.49,70.44,94276.53],
[914.6,0,30,41,3550.2583,9858.1201,25.46,70.49,94267.99],
[914.6,0,30,43,3550.2583,9858.1201,25.43,70.58,94295.67],
[914.6,0,30,45,3550.2583,9858.1191,25.41,70.90,94313.44],
[914.6,0,30,47,3550.2583,9858.1191,25.38,71.29,94275.16],
[914.6,0,30,49,3550.2585,9858.1191,25.34,71.39,94239.62],
[914.6,0,30,51,3550.2585,9858.1191,25.30,71.65,94257.39],
[914.6,0,30,53,3550.2585,9858.1191,25.27,71.76,94289.86],
[914.6,0,30,55,3550.2585,9858.1191,25.22,71.87,94263.54],
[914.6,0,30,57,3550.2585,9858.1191,25.19,71.75,94343.87],
[914.6,0,30,59,3550.2585,9858.1191,25.15,72.24,94279.27],
[914.6,0,31,1,3550.2585,9858.1191,25.10,72.35,94234.49],
[914.6,0,31,3,3550.2585,9858.1191,25.07,72.55,94227.66],
[914.6,0,31,5,3550.2585,9858.1191,25.02,72.77,94257.74],
[914.6,0,31,7,3550.2585,9858.1191,24.94,73.18,94274.48],
[914.6,0,31,9,3550.2585,9858.1191,24.90,73.74,94284.05],
[914.6,0,31,11,3550.2583,9858.1191,24.87,74.10,94257.74],
[914.6,0,31,13,3550.2583,9858.1191,24.85,74.47,94263.89],
[914.6,0,31,15,3550.2585,9858.1191,24.83,75.17,94250.90],
[914.6,0,31,17,3550.2585,9858.1191,24.78,75.90,94257.06],
[914.6,0,31,19,3550.2585,9858.1201,24.67,76.32,94261.84],
[914.6,0,31,21,3550.2585,9858.1201,24.60,76.47,94272.10],
[914.6,0,31,23,3550.2585,9858.1201,24.49,76.79,94255.35],
[914.6,0,31,25,3550.2585,9858.1201,24.38,77.29,94263.90],
[914.6,0,31,27,3550.2583,9858.1201,24.31,78.11,94268.68],
[914.6,0,31,29,3550.2583,9858.1201,24.23,78.66,94270.05],
[914.6,0,31,31,3550.2583,9858.1201,24.16,78.65,94258.78],
[914.6,0,31,33,3550.2585,9858.1201,24.12,79.23,94288.85],
[914.6,0,31,35,3550.2583,9858.1201,24.08,79.86,94270.74],
[914.6,0,31,37,3550.2583,9858.1201,24.03,79.67,94280.65],
[914.6,0,31,39,3550.2583,9858.1201,24.02,79.29,94307.30],
[914.6,0,31,41,3550.2581,9858.1201,23.97,79.50,94251.61],
[914.6,0,31,43,3550.2581,9858.1201,23.94,79.67,94263.91],
[914.6,0,31,45,3550.2581,9858.1201,23.92,80.13,94238.97],
[914.6,0,31,47,3550.2578,9858.1201,23.88,80.57,94241.70],
[914.6,0,31,49,3550.2578,9858.1201,23.84,80.70,94231.11],
[914.6,0,31,51,3550.2578,9858.1201,23.82,81.08,94225.65],
[914.6,0,31,53,3550.2578,9858.1201,23.79,81.34,94269.04],
[914.6,0,31,55,3550.2578,9858.1201,23.68,82.09,94287.15],
[914.6,0,31,57,3550.2578,9858.1201,23.57,82.79,94247.86],
[914.6,0,31,59,3550.2578,9858.1201,23.43,82.95,94271.09],
[914.6,0,32,1,3550.2578,9858.1201,23.30,83.96,94242.74],
[914.6,0,32,3,3550.2576,9858.1201,23.14,85.00,94242.40],
[914.6,0,32,5,3550.2576,9858.1201,22.89,87.61,94274.51],
[914.6,0,32,7,3550.2573,9858.1201,22.79,89.78,94225.66],
[914.6,0,32,9,3550.2573,9858.1201,22.68,91.41,94172.37],
[914.6,0,32,11,3550.2573,9858.1201,22.61,92.82,94199.01],
[914.6,0,32,13,3550.2571,9858.1201,22.49,93.82,94242.74],
[914.6,0,32,15,3550.2571,9858.1211,22.44,94.46,94235.57],
[914.6,0,32,17,3550.2571,9858.1211,22.39,95.27,94175.11],
[914.6,0,32,19,3550.2571,9858.1211,22.37,96.11,94296.37],
[914.6,0,32,21,3550.2573,9858.1201,22.32,96.22,94232.50],
[914.6,0,32,23,3550.2576,9858.1201,22.31,96.96,94246.84],
[914.6,0,32,25,3550.2573,9858.1211,22.26,97.52,94344.19],
[914.6,0,32,27,3550.2573,9858.1211,22.26,98.12,94263.92],
[914.6,0,32,29,3550.2573,9858.1211,22.23,97.98,94258.12],
[914.6,0,32,31,3550.2573,9858.1211,22.23,98.60,94272.80],
[914.6,0,32,33,3550.2576,9858.1211,22.23,99.29,94219.52],
[914.6,0,32,35,3550.2576,9858.1211,22.21,99.28,94247.53],
[914.6,0,32,37,3550.2576,9858.1211,22.19,99.23,94216.79],
[914.6,0,32,39,3550.2576,9858.1211,22.15,99.37,94211.67],
[914.6,0,32,41,3550.2573,9858.1211,22.13,99.30,94356.46],
[914.6,0,32,43,3550.2573,9858.1211,22.10,100.00,94272.11],
[914.6,0,32,45,3550.2573,9858.1211,22.08,100.00,94226.01],
[914.6,0,32,47,3550.2576,9858.1211,22.08,100.00,94251.28],
[914.6,0,32,49,3550.2576,9858.1211,22.09,100.00,94206.88],
[914.6,0,32,51,3550.2573,9858.1221,22.06,100.00,94254.69],
[914.6,0,32,53,3550.2573,9858.1221,22.02,100.00,94261.17],
[914.6,0,32,55,3550.2571,9858.1221,21.98,100.00,94218.83],
[914.6,0,32,57,3550.2571,9858.1221,21.94,100.00,94248.19],
[914.6,0,32,59,3550.2571,9858.1221,21.93,100.00,94248.53],
[914.6,0,33,1,3550.2571,9858.1221,21.91,100.00,94240.68],
[914.6,0,33,3,3550.2573,9858.1221,21.92,100.00,94256.72],
[914.6,0,33,5,3550.2573,9858.1221,21.88,100.00,94251.25],
[914.6,0,33,7,3550.2573,9858.1221,21.88,100.00,94225.64],
[914.6,0,33,9,3550.2573,9858.1221,21.87,100.00,94226.32],
[914.6,0,33,11,3550.2573,9858.1221,21.87,100.00,94202.77],
