# Start Aug 13 2023 23:18:51 UTC 6mi S of Arnett, OK
# Rabbit1,1
# https://sswa.tv/wxlogs
[f,da,db,dc,ga,go,t,h,p],
[914.6,23,18,51,3602.5671,9945.3760,29.09,60.60,93151.56],
[914.6,23,18,53,3602.5667,9945.3760,29.03,60.85,93149.54],
[914.6,23,18,55,3602.5667,9945.3760,28.87,60.56,93113.54],
[914.6,23,18,57,3602.5664,9945.3760,28.73,60.57,93129.33],
[914.6,23,18,59,3602.5659,9945.3760,28.55,60.80,93128.70],
[914.6,23,19,1,3602.5652,9945.3760,28.45,61.30,93106.10],
[914.6,23,19,3,3602.5637,9945.3750,28.39,61.51,93096.88],
[914.6,23,19,5,3602.5625,9945.3750,28.31,62.31,93117.47],
[914.6,23,19,7,3602.5623,9945.3750,28.25,62.50,93136.03],
[914.6,23,19,9,3602.5618,9945.3740,28.11,62.00,93131.23],
[914.6,23,19,11,3602.5613,9945.3740,28.07,61.87,93126.81],
[914.6,23,19,13,3602.5613,9945.3740,27.98,62.02,93110.40],
[914.6,23,19,15,3602.5613,9945.3740,27.93,62.41,93117.98],
[914.6,23,19,17,3602.5613,9945.3740,27.85,62.49,93110.53],
[914.6,23,19,19,3602.5613,9945.3740,27.75,62.39,93136.29],
[914.6,23,19,21,3602.5613,9945.3740,27.57,62.35,93074.67],
[914.6,23,19,23,3602.5613,9945.3740,27.43,62.44,93103.84],
[914.6,23,19,25,3602.5613,9945.3740,27.32,62.84,93069.63],
[914.6,23,19,27,3602.5613,9945.3740,27.26,63.41,93102.58],
[914.6,23,19,29,3602.5613,9945.3740,27.18,63.90,93095.51],
[914.6,23,19,31,3602.5613,9945.3740,27.05,64.04,93095.89],
[914.6,23,19,33,3602.5610,9945.3740,26.99,64.39,93106.24],
[914.6,23,19,35,3602.5610,9945.3740,26.93,64.73,93114.19],
[914.6,23,19,37,3602.5610,9945.3740,26.87,65.14,93106.75],
[914.6,23,19,39,3602.5610,9945.3740,26.89,65.75,93118.48],
[914.6,23,19,41,3602.5610,9945.3740,26.78,65.91,93117.22],
[914.6,23,19,43,3602.5610,9945.3740,26.73,66.57,93103.21],
[914.6,23,19,45,3602.5610,9945.3740,26.66,66.95,93116.33],
[914.6,23,19,47,3602.5610,9945.3740,26.60,67.27,93112.29],
[914.6,23,19,49,3602.5610,9945.3740,26.58,67.73,93108.62],
[914.6,23,19,51,3602.5608,9945.3740,26.48,67.72,93112.15],
[914.6,23,19,53,3602.5608,9945.3740,26.40,67.89,93086.53],
[914.6,23,19,55,3602.5608,9945.3740,26.34,68.06,93104.44],
[914.6,23,19,57,3602.5608,9945.3740,26.29,68.46,93105.20],
[914.6,23,19,59,3602.5605,9945.3730,26.28,68.81,93101.53],
[914.6,23,20,1,3602.5605,9945.3730,26.23,69.01,93113.25],
[914.6,23,20,3,3602.5603,9945.3730,26.07,69.32,93091.42],
[914.6,23,20,5,3602.5603,9945.3730,26.01,69.99,93063.79],
[914.6,23,20,7,3602.5603,9945.3730,25.94,69.94,93088.51],
[914.6,23,20,9,3602.5603,9945.3730,25.82,70.26,93041.33],
[914.6,23,20,11,3602.5601,9945.3730,25.72,70.57,93067.81],
[914.6,23,20,13,3602.5601,9945.3730,25.65,70.99,93067.55],
[914.6,23,20,15,3602.5598,9945.3730,25.58,71.17,93085.07],
[914.6,23,20,17,3602.5598,9945.3730,25.50,71.42,93055.42],
[914.6,23,20,19,3602.5598,9945.3730,25.39,71.67,93048.98],
[914.6,23,20,21,3602.5596,9945.3721,25.30,71.99,93081.25],
[914.6,23,20,23,3602.5596,9945.3721,25.17,72.52,93043.03],
[914.6,23,20,25,3602.5593,9945.3721,25.09,72.83,92994.86],
[914.6,23,20,27,3602.5593,9945.3721,25.00,73.13,93088.02],
[914.6,23,20,29,3602.5591,9945.3721,24.90,73.63,93032.66],
